SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
1439107;"BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO";"RUA ANTONIO FRANCO POMPEU, 261";-;"VILA OPERÁRIA";"17340000";"BARRA BONITA";"SP";"Brasil";-;-;-;
5036532;"CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB";"AV  DUQUE DE CAXIAS  N  882  SOBRELOJA 2";"EDIFICIO NEW TOWER PLAZA";"NOVO CENTRO";"87020025";"MARINGA";"PR";"Brasil";-;-;"https://www.sicoobunicoob.com.br";
62931522;"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP";"PRACA ALFREDO ISSA  48";"18 ANDAR   CJS  181 182";"SANTA EFIGENIA";"01033040";"SAO PAULO";"SP";"Brasil";-;-;"https://www.sicoobcentralcecresp.coop.br";
70116611;"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE";"RUA EMPRESARIO CLOVIS ROLIM  N 2051";"ED  DCT   DUO CORPORATE TOWERS  16  ANDAR  TORRE B";"DOS IPES";"58028873";"JOAO PESSOA";"PB";"Brasil";-;-;"https://www.sicoobne.com.br";
106180;"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON";"RUA I  185";"PARQUE ELDORADO";"JARDIM ALVORADA";"78048487";"CUIABA";"MT";"Brasil";-;-;-;
309024;"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE";"AV  DO CONTORNO  N 4924   3   5  E 6  ANDARES";-;"FUNCIONARIOS";"30110032";"BELO HORIZONTE";"MG";"Brasil";-;-;"https://www.cecremge.org.br";
4243780;"CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO";"AVENIDA REPUBLICA DO LIBANO";"N  936   1  ANDAR";"SETOR AEROPORTO";"74070040";"GOIANIA";"GO";"Brasil";-;-;"https://www.sicoob.com.br/web/centralsicoobuni/sistema-sicoo";
3795072;"CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI";"AV. ASSIS BRASIL, 3940";"6. ANDAR";"JARDIM LINDOIA";"91010003";"PORTO ALEGRE";"RS";"Brasil";-;-;"https://www.sicredi.com.br";
4891850;"CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA";"SIG QUADRA 06 LOTE 2080 TORRE II";"CENTRO CORPORATIVO SICOOB";"SIG";"70610460";"BRASILIA";"DF";"Brasil";-;-;"https://www.sicoob.com.br";
10398952;"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO";"RODOVIA JOSE CARLOS DAUX  N  500";"2  ANDAR   CONDOMINIO TECHNO TOWERS  TORRE 1";"JOAO PAULO";"88030000";"FLORIANOPOLIS";"SC";"Brasil";-;-;"https://www.cresolconfederacao.com.br";
