cnpj_coop,nome_coop,naturezaJuridica,classe,situacao,regimeEspecial,logradouro,complemento,bairro,municipio,uf,cep,endereco_eletronico,email,segmento_prudencial,filiacao
1439107,BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA ANTONIO FRANCO POMPEU, 261",,VILA OPERÁRIA,BARRA BONITA,SP,17340000,barracred@barracred.com.br,barracred@barracred.com.br,S5,
5036532,CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  DUQUE DE CAXIAS  N  882  SOBRELOJA 2,EDIFICIO NEW TOWER PLAZA,NOVO CENTRO,MARINGA,PR,87020025,diretoria@sicoobpr.com.br,diretoria@sicoobpr.com.br,S4,
62931522,CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA ALFREDO ISSA  48,18 ANDAR   CJS  181 182,SANTA EFIGENIA,SAO PAULO,SP,01033040,administracao@cecresp.org.br,administracao@cecresp.org.br,S4,
70116611,CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA EMPRESARIO CLOVIS ROLIM  N 2051,ED  DCT   DUO CORPORATE TOWERS  16  ANDAR  TORRE B,DOS IPES,JOAO PESSOA,PB,58028873,central@sicoobne.com.br,central@sicoobne.com.br,S4,
106180,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON",Sociedade Cooperativa,,Autorizada em Atividade,false,RUA I  185,PARQUE ELDORADO,JARDIM ALVORADA,CUIABA,MT,78048487,central@sicoobmtms.coop.br,central@sicoobmtms.coop.br,S4,
309024,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  DO CONTORNO  N 4924   3   5  E 6  ANDARES,,FUNCIONARIOS,BELO HORIZONTE,MG,30110032,cecremge@cecremge.org.br,cecremge@cecremge.org.br,S4,
4243780,CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA REPUBLICA DO LIBANO,N  936   1  ANDAR,SETOR AEROPORTO,GOIANIA,GO,74070040,unicredbc@unicredsys.com.br,unicredbc@unicredsys.com.br,S4,
3795072,CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,Sociedade Cooperativa,,,false,"AV. ASSIS BRASIL, 3940",6. ANDAR,JARDIM LINDOIA,PORTO ALEGRE,RS,91010003,confederacao_unicad@sicredi.com.br,confederacao_unicad@sicredi.com.br,,
4891850,CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA,Sociedade Cooperativa,,,false,SIG QUADRA 06 LOTE 2080 TORRE II,CENTRO CORPORATIVO SICOOB,SIG,BRASILIA,DF,70610460,sicoob-brasil@sicoob-brasil.com.br,sicoob-brasil@sicoob-brasil.com.br,,
10398952,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,RODOVIA JOSE CARLOS DAUX  N  500,2  ANDAR   CONDOMINIO TECHNO TOWERS  TORRE 1,JOAO PAULO,FLORIANOPOLIS,SC,88030000,,,S4,
315557,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA BELA CINTRA  967,8  ANDAR   CJ  82,CONSOLACAO,SAO PAULO,SP,01415907,unicredbr@unicred.com.br,unicredbr@unicred.com.br,S4,
44469161,COOPECREDI GUARIBA - COOPERATIVA DE CREDITO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV ANTONIO ALBINO 1671,,VILA GARAVELLO,GUARIBA,SP,14840000,coopecredi@coopecredi.com.br,coopecredi@coopecredi.com.br,S4,
88325113,COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA GONCALVES DIAS  88,SALA 1005,CENTRO,CANOAS,RS,92010050,marlise@cooperativaminuano.com.br,marlise@cooperativaminuano.com.br,S5,
1664968,COOPERATIVA  DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA CALAMA 2468,,SAO JOAO BOSCO,PORTO VELHO,RO,76803769,unicredpvh@unicredportovelho.com.br,unicredpvh@unicredportovelho.com.br,S5,
1864151,COOPERATIVA  ECONOMIA CRÉDITO MÚTUO  SERVS E EMPREGADOS PÚBLICOS MUNIC DE BELO HORIZONTE BETIM BRUMADINHO CONTAGEM IBIRITÉ NOVA LIMA RIBEIRÃO DAS NEVES SABARÁ SANTA LUZIA E VESPASIANO SICOOB CREDISERV,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DA BAHIA  905   11 ANDAR,,CENTRO,BELO HORIZONTE,MG,30160011,crediservbh@crediservbh.com.br,crediservbh@crediservbh.com.br,S5,
32428294,COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA CONSTANTE SODRÉ, N- 305",,SANTA LUCIA,VITORIA,ES,29056310,sicoobes@sicoobes.com.br,sicoobes@sicoobes.com.br,S4,
5463212,COOPERATIVA CENTRAL DE CRÉDITO - AILOS,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA GENERAL OSÓRIO, 1180",,VELHA,BLUMENAU,SC,89041002,cecred@cecred.coop.br,cecred@cecred.coop.br,S4,
1401771,COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA ERNESTO SANDERSON, N- 101",,INDUSTRIAL,FRANCISCO BELTRAO,PR,85601657,baser@cresol.com.br,baser@cresol.com.br,S4,
10013534,COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL NORDESTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA SANTOS DUMONT,"SALA 608, EDIFÍCIO EMPRESARIAL REFRAN",CENTRO,LAURO DE FREITAS,BA,42705400,diretoria@ascoobcentral.com.br,diretoria@ascoobcentral.com.br,S4,
34148882,COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA - SICOOB CENTRAL BA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ALCEU AMOROSO LIMA  N  470,ED  EMPRESARIAL NIEMEYER  10  ANDAR,CAMINHO DAS ARVORES,SALVADOR,BA,41820770,sicoob-ba@sicoob-ba.com.br,sicoob-ba@sicoob-ba.com.br,S4,
33416108,"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS, DISTRITO FEDERAL E TOCANTINS LTDA. - SICOOB NOVA CENTRAL",Sociedade Cooperativa,,Autorizada em Atividade,false,RUA 15 1250,,SETOR MARISTA,GOIANIA,GO,74150020,central@sicoobgoias.com.br,central@sicoobgoias.com.br,S4,
25683434,COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA DEL REY  111,CONDOMINIO COMERCIAL CAICARA  TORRE B  7  ANDAR,CAPARAO,BELO HORIZONTE,MG,30775240,seger@crediminas.com.br,seger@crediminas.com.br,S3,
80160260,COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA TENENTE SILVEIRA  94,ANDARES 2   3   4   5   6   7  E 8,CENTRO,FLORIANOPOLIS,SC,88010300,sicoobsc@sicoobsc.com.br,sicoobsc@sicoobsc.com.br,S3,
63917579,COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA PROFESSOR JOAO FIUSA  2604,,JARDIM CANADA,RIBEIRAO PRETO,SP,14024260,presidencia@sicoobsp.coop.br,presidencia@sicoobsp.coop.br,S3,
3502131,COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE,Sociedade Cooperativa,,Autorizada em Atividade,false,AV NACOES UNIDAS 555,,N S  DAS GRACAS,PORTO VELHO,RO,76804175,centralnorte@centralnorte.com.br,centralnorte@centralnorte.com.br,S4,
7202627,COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ACHILES TOMAZELLI  1310E,PREDIO,SANTA MARIA,CHAPECO,SC,89812143,jonas@cresolcentral.com.br,jonas@cresolcentral.com.br,S4,
21198087,COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DOUTOR BOZANO,272,PETROPOLIS,PASSO FUNDO,RS,99051370,,,S4,
543968,COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA CRISTOVAO NUNES PIRES 50 TORRE NORDEN,LJ 05  SALAS 402 403 508 509 510 E 511,CENTRO,FLORIANOPOLIS,SC,88010120,administracao@unicredcentralsc.com.br,administracao@unicredcentralsc.com.br,S4,
1634601,COOPERATIVA CENTRAL DE CRÉDITO UNICRED GERAÇÃO LTDA. - UNICRED CENTRAL GERAÇÃO,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA PRAIA DE BELAS  1212,TORRE NORTE  8  ANDAR,PRAIA DE BELAS,PORTO ALEGRE,RS,90110000,angela@unicred-rs.com.br,angela@unicred-rs.com.br,S4,
33737818,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL",Sociedade Cooperativa,,Autorizada em Atividade,false,AV  T 12  S N,QD 123 LT 17 18 SALA 2801 ED CONNECT PARK BUSINESS,BUENO,GOIANIA,GO,74223080,centralms_bacen@sicredi.com.br,centralms_bacen@sicredi.com.br,S4,
33667205,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE",Sociedade Cooperativa,,Autorizada em Atividade,false,AV  JOSE RODRIGUES DO PRADO  19,1  ANDAR,SANTA ROSA,CUIABA,MT,78040000,nauder_silva@sicredi.com.br,nauder_silva@sicredi.com.br,S4,
70119680,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORDESTE - CENTRAL SICREDI NORDESTE",Sociedade Cooperativa,,Autorizada em Atividade,false,AV. PRESIDENTE EPITÁCIO PESSOA,19- ANDAR - EDIFÍCIO ATLANTIS OFFICES DESIGN,TAMBAUZINHO,JOAO PESSOA,PB,0058042006,unicred@unicrednne.com.br,unicred@unicrednne.com.br,S4,
87437687,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE",Sociedade Cooperativa,,Autorizada em Atividade,false,"R. MANOELITO DE ORNELLAS, 55",18- E 19- ANDAR,PRAIA DE BELAS,PORTO ALEGRE,RS,90110230,centralsul_juridico@sicredi.com.br,centralsul_juridico@sicredi.com.br,S3,
80230774,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ",Sociedade Cooperativa,,Autorizada em Atividade,false,R ALCIDES MUNHOZ  165,1  ANDAR,MERCES,CURITIBA,PR,80810040,centralpr_juridico@sicredi.com.br,centralpr_juridico@sicredi.com.br,S3,
86774775,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DO OUVIDOR 121,SALA 2101,CENTRO,RIO DE JANEIRO,RJ,20040031,superincentral@unicred-rj.com.br,superincentral@unicred-rj.com.br,S4,
14568725,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO SICOOB UNIMAIS RIO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA RODRIGO SILVA  N  26,6  ANDAR   SALA 601,CENTRO,RIO DE JANEIRO,RJ,20011040,,,S4,
51010858,COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  MONTEIRO LOBATO  3411   ANTIGO 3285,HITACHI PG   SETOR  COOPERATIVA,SAO ROQUE,GUARULHOS,SP,07190904,cooperativa.marcos-silva@br.abb.com,cooperativa.marcos-silva@br.abb.com,S5,
54603022,COOPERATIVA DE CREDITO CECRES - SICOOB CECRES,Sociedade Cooperativa,,Autorizada em Atividade,false,AV IPIRANGA  324,BL C EDF  INVESTIMENTO 1  3  E 15  ANDAR,REPUBLICA,SAO PAULO,SP,01046010,contab@cecres.com.br,contab@cecres.com.br,S5,
4120633,COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  DAS AMERICAS  3500  BLOCO 2  SALA 204,COND  LE MONDE,BARRA DA TIJUCA,RIO DE JANEIRO,RJ,22640102,infocrerj@infocrerj.com.br,infocrerj@infocrerj.com.br,S5,
49389307,COOPERATIVA DE CREDITO COOPLIVRE,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA BENTO DIAS  608,,CENTRO,CAPIVARI,SP,13360000,rural@credicap.com.br,rural@credicap.com.br,S5,
429890,COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA TIRADENTES,440,CENTRO,CAMPOS ALTOS,MG,38970000,campal310300@sicoobcrediminas.com.br,campal310300@sicoobcrediminas.com.br,S5,
966246,COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SALVADOR DE FREITAS N 1 243,,CENTRO,ITAI,SP,18730000,roseli@crediceripa.com.br,roseli@crediceripa.com.br,S4,
54037916,COOPERATIVA DE CREDITO CREDICITRUS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA PRUDENTE DE MORAES  534,,CENTRO,BEBEDOURO,SP,14700120,administracao@credicitrus.com.br,administracao@credicitrus.com.br,S3,
66788142,COOPERATIVA DE CREDITO CREDIMOTA   SICOOB CREDIMOTA,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA HENRIQUE VASQUES  262,,CENTRO,CANDIDO MOTA,SP,19880000,administrativo@credimota.com.br,administrativo@credimota.com.br,S5,
3358914,COOPERATIVA DE CREDITO CREDIROCHAS - SICOOB CREDIROCHAS,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA VINTE E CINCO DE MARÇO, N- 29",,CENTRO,CACHOEIRO DE ITAPEMIRIM,ES,29300100,credirochas@sicoobes.com.br,credirochas@sicoobes.com.br,S5,
